tip,date
AB769152.1,2011-06
AB769154.2,2011-06
AB769156.2,2011-06
AB769159.2,2011-06
AB769160.1,2011-06
AB769161.2,2011-06
AB769162.2,2011-06
AB769163.1,2011-10
AB769164.2,2011-10
AB769165.1,2011-10
D90457.1,1970
JF742576.1,2010-09-30
JF742577.1,2010-09-14
JF742578.1,2007
JF742579.1,2007
JN228097.1,2004-08-08
KF667358.1,2010
KF667359.1,2010
KF667360.1,2010
KF667361.1,2010
KF725085.1,2002-07-01
KR399988.1,2015-03-12
KR478685.1,2015-03-12
MF419263.1,2017-06
MG880745.2,2017-10-11
MG880747.2,2017-10-02
MG880748.2,2017-10-02
MG880749.2,2017-10-11
MG880750.2,2017-10-11
MG880751.2,2017-10-02
MG880752.2,2017-10-02
MZ171074.1,1988
MZ171075.1,1988
MZ171076.1,1988
MZ171077.1,1988
MZ171078.1,1988
MZ171079.1,1988
MZ171080.1,1988
MZ171081.1,1994
MZ171082.1,1994
MZ171083.1,1994
MZ171084.1,1994
MZ171085.1,1994
MZ171086.1,1994
MZ171087.1,1994
MZ171088.1,2007
MZ171089.1,2007
MZ171090.1,2007
MZ171091.1,2007
MZ171092.1,2007
MZ171093.1,2007
MZ171094.1,2007
MZ171095.1,2007
MZ171096.1,2007
OR361387.1,2023-06-02
OR361388.1,2023-06-02
OR361389.1,2023-06-02
OR361390.1,2023-06-02
OR633288.1,2023-09
OR803779.1,2023-05-26
OR803780.1,2023-05-26
PP028461.1,2023-09
PP548237.1,2024-01-19
PP548238.1,2024-01-18
PP548239.1,2024-01-17
PP548240.1,2024-01-16
PP548242.1,2024-01-16
PP548241.1,2024-01-16
PP327391.1,2023-08-22
OR352715.1,2023-06-05
OR352716.1,2023-06-05
OR352717.1,2023-06-05
OR352718.1,2023-06-05
OR352719.1,2023-06-05
OR352720.1,2023-06-05
OR352721.1,2023-06-05
OR352722.1,2023-06-05
OR352723.1,2023-06-05
OR352724.1,2023-06-05
OR352725.1,2023-06-05
OR352726.1,2023-06-05
OR352727.1,2023-06-05
OM386802.1,2003-09
OM386803.1,2007-01
OM386804.1,2007-02
OM386805.1,2010-09
OM386806.1,2010-09
OM386807.1,2010-10
OM386808.1,2010-11
OM386809.1,1994-09
OM386810.1,1994-10
OM386811.1,1995-08
OM386812.1,1997-04
MT741567.1,1994
MT741568.1,1994
MT741569.1,1994
MT741570.1,1994
MT741571.1,1994
MT741572.1,1994
