Accession,Country,Collection_Date
AB769152.1,Japan,2011-06
AB769154.2,Japan,2011-06
AB769156.2,Japan,2011-06
AB769159.2,Japan,2011-06
AB769160.1,Japan,2011-06
AB769161.2,Japan,2011-06
AB769162.2,Japan,2011-06
AB769163.1,Japan,2011-10
AB769164.2,Japan,2011-10
AB769165.1,Japan,2011-10
D90457.1,Singapore,1970
JF742576.1,China,2010-09-30
JF742577.1,China,2010-09-14
JF742578.1,China,2007
JF742579.1,China,2007
JN228097.1,South Korea,2004-08-08
KF667358.1,India,2010
KF667359.1,India,2010
KF667360.1,India,2010
KF667361.1,India,2010
KF725085.1,Malaysia,2002-07-01
KR399988.1,France,2015-03-12
KR478685.1,France,2015-03-12
MF419263.1,French Guiana,2017-06
MG880745.2,Mexico,2017-10-11
MG880747.2,Mexico,2017-10-02
MG880748.2,Mexico,2017-10-02
MG880749.2,Mexico,2017-10-11
MG880750.2,Mexico,2017-10-11
MG880751.2,Mexico,2017-10-02
MG880752.2,Mexico,2017-10-02
MZ171074.1,China,1988
MZ171075.1,China,1988
MZ171076.1,China,1988
MZ171077.1,China,1988
MZ171078.1,China,1988
MZ171079.1,China,1988
MZ171080.1,China,1988
MZ171081.1,China,1994
MZ171082.1,China,1994
MZ171083.1,China,1994
MZ171084.1,China,1994
MZ171085.1,China,1994
MZ171086.1,China,1994
MZ171087.1,China,1994
MZ171088.1,China,2007
MZ171089.1,China,2007
MZ171090.1,China,2007
MZ171091.1,China,2007
MZ171092.1,China,2007
MZ171093.1,China,2007
MZ171094.1,China,2007
MZ171095.1,China,2007
MZ171096.1,China,2007
OR361387.1,China,2023-06-02
OR361388.1,China,2023-06-02
OR361389.1,China,2023-06-02
OR361390.1,China,2023-06-02
OR633288.1,Pakistan,2023-09
OR803779.1,China,2023-05-26
OR803780.1,China,2023-05-26
PP028461.1,Pakistan,2023-09
PP548237.1,France,2024-01-19
PP548238.1,France,2024-01-18
PP548239.1,France,2024-01-17
PP548240.1,France,2024-01-16
PP548242.1,France,2024-01-16
PP548241.1,France,2024-01-16
PP327391.1,India,2023-08-22
OR352715.1,China,2023-06-05
OR352716.1,China,2023-06-05
OR352717.1,China,2023-06-05
OR352718.1,China,2023-06-05
OR352719.1,China,2023-06-05
OR352720.1,China,2023-06-05
OR352721.1,China,2023-06-05
OR352722.1,China,2023-06-05
OR352723.1,China,2023-06-05
OR352724.1,China,2023-06-05
OR352725.1,China,2023-06-05
OR352726.1,China,2023-06-05
OR352727.1,China,2023-06-05
OM386802.1,China,2003-09
OM386803.1,China,2007-01
OM386804.1,China,2007-02
OM386805.1,China,2010-09
OM386806.1,China,2010-09
OM386807.1,China,2010-10
OM386808.1,China,2010-11
OM386809.1,China,1994-09
OM386810.1,China,1994-10
OM386811.1,China,1995-08
OM386812.1,China,1997-04
MT741567.1,China,1994
MT741568.1,China,1994
MT741569.1,China,1994
MT741570.1,China,1994
MT741571.1,China,1994
MT741572.1,China,1994
MT741573.1,China,1994
MT741574.1,China,2007
MT741575.1,China,2007
MT741576.1,China,2007
MT741577.1,China,2007
MT741578.1,China,2007
MT741579.1,China,2007
MT741580.1,China,2007
MT741581.1,China,2007
MT741582.1,China,2007
MN018194.1,China,2010-10
MK618764.1,Mexico,2017-10-26
MK618765.1,Mexico,2017-10-31
MK618766.1,Mexico,2017-10-02
MK618767.1,Mexico,2017-10-15
MK989717.1,Kenya,2010-04-08
MK989719.1,Kenya,2010-06-03
MK989722.1,Kenya,2010-04-30
MH778630.1,Brazil,2018
MH778631.1,Brazil,2018
MH778632.1,Brazil,2018
MH778633.1,Brazil,2018
MH778634.1,Brazil,2017
MH778635.1,Brazil,2017
MF189567.1,Uganda,2017-01-31
AB901479.1,Taiwan,2000
AB901480.1,Taiwan,2001
AB901481.1,Taiwan,2002
AB901482.1,Taiwan,2002
AB901483.1,Taiwan,2002
AB901484.1,Taiwan,2002
AB901485.1,Taiwan,2002
AB901486.1,Taiwan,2003
AB901487.1,Taiwan,2007
AB901488.1,Taiwan,2007
AB901489.1,Taiwan,2008
AB901490.1,Taiwan,2008
AB901491.1,Taiwan,2010
AB901492.1,Taiwan,2010
AB901493.1,Taiwan,2010
KP122021.1,Thailand,2014-10-31
KP122022.1,Thailand,2014-10-31
KP122023.1,Thailand,2014-10-31
KP122024.1,Thailand,2014-10-31
KP122025.1,Thailand,2014-10-31
KP122026.1,Thailand,2014-10-31
KP122029.1,Thailand,2014-10-31
KP122031.1,Thailand,2014-10-31
KP122034.1,Thailand,2014-10-31
KP122035.1,Thailand,2014-10-31
KP122036.1,Thailand,2014-10-31
KP122037.1,Thailand,2014-10-31
KP122038.1,Thailand,2014-10-31
KP122040.1,Thailand,2014-10-31
KP122042.1,Thailand,2014-10-31
KP122043.1,Thailand,2014-10-31
KP122044.1,Thailand,2014-10-31
KP122045.1,Thailand,2014-10-31
KP122046.1,Thailand,2014-10-31
KP122047.1,Thailand,2014-10-31
KP122048.1,Thailand,2014-10-31
KP122050.1,Thailand,2014-10-31
KP122051.1,Thailand,2014-10-31
KP122052.1,Thailand,2014-10-31
KP122053.1,Thailand,2014-10-31
KP122054.1,Thailand,2014-10-31
KP122055.1,Thailand,2014-10-31
KP122056.1,Thailand,2014-10-31
KP122058.1,Thailand,2014-10-31
KP122059.1,Thailand,2014-10-31
KP122060.1,Thailand,2014-10-31
KP122062.1,Thailand,2014-10-31
KP122063.1,Thailand,2014-10-31
KP122064.1,Thailand,2014-10-31
KP122065.1,Thailand,2014-10-31
